,enrollment_id,event_trend,events_last_week,events_first_week,events_second_last_week,weekly_avg,weekly_std,max_weekly_count,min_weekly_count,first_event_month,last_event_month,session_count_3hr,session_avg_3hr,session_std_3hr,session_max_3hr,session_min_3hr,quadratic_b,quadratic_c,session_count_1hr,session_avg_1hr,sessioin_std_1hr,sessioin_max_1hr,session_min_1hr,session_dur_avg_3hr,session_dur_std_3hr,sessioin_dur_max_3hr,session_dur_min_3hr,sessioin_dur_avg_1hr,session_dur_std_1hr,session_dur_max_1hr,session_dur_min_1hr,MonCount,TueCount,WedCount,ThuCount,FriCount,SatCount,SunCount,Hr0Count,Hr1Count,Hr2Count,Hr3Count,Hr4Count,Hr5Count,Hr6Count,Hr7Count,Hr8Count,Hr9Count,Hr10Count,Hr11Count,Hr12Count,Hr13Count,Hr14Count,Hr15Count,Hr16Count,Hr17Count,Hr18Count,Hr19Count,Hr20Count,Hr21Count,Hr22Count,Hr23Count,AccCount,ProCount,PagCount,NagCount,VidCount,DisCount,WikCount,BroCount,SerCount,Course0Count,Course1Count,Course2Count,Course3Count,Course4Count,Course5Count,Course6Count,Course7Count,Course8Count,Course9Count,Course10Count,Course11Count,Course12Count,Course13Count,Course14Count,Course15Count,Course16Count,Course17Count,Course18Count,Course19Count,Course20Count,Course21Count,Course22Count,Course23Count,Course24Count,Course25Count,Course26Count,Course27Count,Course28Count,Course29Count,Course30Count,Course31Count,Course32Count,Course33Count,Course34Count,Course35Count,Course36Count,Course37Count,Course38Count,chapter,combinedopenended,problem,sequential,video
0,1.0,9.099999999999987,51.0,13.0,64.0,62.8,40.78431070889883,137.0,13.0,6.0,7.0,16.0,19.625,19.636939043547496,67.0,1.0,83.10000000000002,7.599999999999909,16.0,19.625,19.636939043547496,67.0,1.0,0.4033159722222223,0.373352469705666,1.3161111111111108,0.0,0.4033159722222223,0.373352469705666,1.3161111111111108,0.0,125.0,73.0,33.0,1.0,10.0,64.0,8.0,0.0,0.0,24.0,22.0,33.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,58.0,70.0,8.0,38.0,107.0,87.0,66.0,25.0,29.0,0.0,0.0,195.0,119.0,195.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,83.0,80.0,29.0
1,3.0,-2.5945352296482637e-15,57.0,31.0,36.0,57.6,22.078043391568922,88.0,31.0,6.0,7.0,8.0,36.0,20.838665984174707,64.0,3.0,28.571428571428537,43.31428571428565,8.0,36.0,20.838665984174707,64.0,3.0,0.09763888888888887,0.058652401201201174,0.21194444444444446,0.0008333333333333334,0.09763888888888887,0.058652401201201174,0.21194444444444446,0.0008333333333333334,115.0,64.0,36.0,0.0,15.0,58.0,0.0,39.0,0.0,30.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,48.0,0.0,0.0,0.0,79.0,138.0,22.0,14.0,9.0,26.0,0.0,200.0,88.0,200.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,148.0,60.0,9.0
2,4.0,-4.099999999999997,13.0,31.0,34.0,24.75,8.317902379807062,34.0,13.0,6.0,7.0,11.0,9.0,5.152228114656276,17.0,1.0,4.150000000000022,28.14999999999999,13.0,7.615384615384616,5.609586047232164,17.0,1.0,0.6972474747474748,0.7524058443667764,1.9,0.0,0.3114957264957265,0.4962396290603193,1.8647222222222224,0.0,7.0,0.0,28.0,24.0,0.0,10.0,30.0,0.0,0.0,2.0,2.0,13.0,0.0,0.0,18.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,4.0,21.0,1.0,64.0,6.0,10.0,15.0,4.0,0.0,0.0,19.0,80.0,19.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,41.0,4.0
3,5.0,-28.100000000000023,46.0,147.0,176.0,126.6,89.0721056223552,255.0,9.0,6.0,7.0,15.0,42.2,46.27194974639964,145.0,1.0,-10.100000000000039,173.7999999999998,27.0,23.444444444444446,28.393182975956968,145.0,1.0,3.0741851851851845,3.9624476544512386,13.626111111111115,0.0,0.9256790123456791,1.0941081723513333,3.3866666666666667,0.0,54.0,160.0,163.0,43.0,158.0,54.0,1.0,90.0,94.0,57.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,21.0,95.0,23.0,34.0,29.0,63.0,28.0,46.0,0.0,18.0,226.0,170.0,87.0,30.0,86.0,34.0,0.0,431.0,202.0,431.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,189.0,197.0,82.0
4,6.0,0.0,23.0,23.0,0.0,23.0,0.0,23.0,23.0,7.0,7.0,2.0,11.5,5.5,17.0,6.0,0.0,0.0,2.0,11.5,5.5,17.0,6.0,0.8990277777777778,0.4656944444444444,1.3647222222222222,0.43333333333333335,0.8990277777777778,0.4656944444444444,1.3647222222222222,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,12.0,2.0,2.0,5.0,2.0,0.0,0.0,6.0,17.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,2.0
5,7.0,-13.899999999999974,59.0,145.0,197.0,119.75,54.860618844486254,197.0,59.0,6.0,7.0,9.0,53.22222222222222,41.246623505655386,125.0,10.0,39.35000000000015,122.84999999999987,9.0,53.22222222222222,41.246623505655386,125.0,10.0,1.010925925925926,0.979312960790098,3.2022222222222223,0.05055555555555556,1.010925925925926,0.979312960790098,3.2022222222222223,0.05055555555555556,117.0,135.0,51.0,0.0,13.0,78.0,85.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,45.0,46.0,72.0,88.0,33.0,124.0,47.0,203.0,94.0,60.0,20.0,69.0,33.0,0.0,325.0,154.0,325.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,102.0,176.0,61.0
6,9.0,24.999999999999996,61.0,36.0,36.0,48.5,12.5,61.0,36.0,6.0,7.0,7.0,13.857142857142858,7.510536816054237,28.0,6.0,0.0,0.0,7.0,13.857142857142858,7.510536816054237,28.0,6.0,0.8473809523809525,0.7252375524147952,2.2536111111111112,0.0175,0.8473809523809525,0.7252375524147952,2.2536111111111112,0.0175,0.0,0.0,7.0,47.0,24.0,19.0,0.0,10.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,49.0,6.0,0.0,0.0,71.0,6.0,6.0,12.0,2.0,0.0,0.0,17.0,80.0,17.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,50.0,2.0
7,12.0,-14.500000000000012,20.0,49.0,58.0,42.333333333333336,16.21384867602041,58.0,20.0,6.0,7.0,10.0,12.7,4.473253849269009,20.0,5.0,32.500000000000064,48.99999999999997,10.0,12.7,4.473253849269009,20.0,5.0,0.4958611111111111,0.2639551510375565,1.0286111111111111,0.12555555555555556,0.4958611111111111,0.2639551510375565,1.0286111111111111,0.12555555555555556,0.0,59.0,0.0,0.0,8.0,16.0,44.0,18.0,2.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,44.0,4.0,0.0,8.0,46.0,0.0,43.0,6.0,31.0,1.0,0.0,74.0,53.0,74.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,33.0,31.0
8,13.0,77.9,244.0,43.0,176.0,115.75,98.44890806910965,244.0,0.0,6.0,7.0,12.0,38.583333333333336,45.77018376871806,173.0,2.0,-5.350000000000101,26.650000000000066,17.0,27.235294117647058,41.31162692307266,172.0,1.0,1.5625,1.9367769226865104,5.558055555555557,0.0,0.5532026143790849,0.8943676189840156,3.7102777777777787,0.0,38.0,47.0,47.0,49.0,0.0,127.0,155.0,28.0,1.0,0.0,0.0,36.0,6.0,49.0,19.0,4.0,0.0,11.0,7.0,39.0,44.0,2.0,2.0,0.0,0.0,0.0,8.0,97.0,11.0,44.0,55.0,200.0,150.0,25.0,15.0,69.0,4.0,0.0,314.0,149.0,314.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,150.0,173.0,60.0
9,14.0,1.4999999999999976,33.0,30.0,39.0,34.0,3.741657386773941,39.0,30.0,6.0,7.0,8.0,12.75,4.3229041164476465,22.0,7.0,16.500000000000007,29.999999999999996,9.0,11.333333333333336,3.366501646120693,16.0,6.0,0.9010416666666666,0.7489997026641929,2.8208333333333333,0.3508333333333333,0.6829938271604941,0.3976933401004472,1.6036111111111107,0.15583333333333332,10.0,0.0,0.0,30.0,12.0,33.0,17.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,42.0,7.0,0.0,60.0,12.0,5.0,20.0,5.0,0.0,0.0,19.0,83.0,19.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,12.0,43.0,5.0
