enrollment_id,chapter,combinedopenended,problem,sequential,video
1,13.0,0.0,83.0,80.0,29.0
3,9.0,0.0,148.0,60.0,9.0
4,11.0,0.0,6.0,41.0,4.0
5,14.0,0.0,189.0,197.0,82.0
6,1.0,0.0,2.0,9.0,2.0
7,13.0,0.0,102.0,176.0,61.0
9,11.0,0.0,6.0,50.0,2.0
12,10.0,0.0,0.0,33.0,31.0
13,13.0,0.0,150.0,173.0,60.0
14,8.0,0.0,12.0,43.0,5.0
16,18.0,0.0,64.0,131.0,15.0
18,4.0,0.0,17.0,81.0,10.0
20,15.0,0.0,0.0,28.0,12.0
22,0.0,0.0,64.0,65.0,36.0
23,9.0,0.0,0.0,34.0,14.0
26,15.0,0.0,5.0,116.0,31.0
28,5.0,0.0,12.0,34.0,18.0
30,0.0,0.0,2.0,3.0,0.0
31,9.0,0.0,19.0,103.0,21.0
32,8.0,0.0,13.0,10.0,1.0
35,24.0,0.0,38.0,34.0,6.0
39,1.0,0.0,13.0,87.0,33.0
45,33.0,0.0,176.0,262.0,104.0
48,8.0,0.0,14.0,54.0,27.0
49,98.0,0.0,82.0,152.0,39.0
50,5.0,0.0,64.0,38.0,0.0
51,50.0,0.0,6.0,419.0,175.0
53,27.0,0.0,34.0,113.0,67.0
55,20.0,0.0,16.0,52.0,29.0
58,32.0,0.0,157.0,174.0,30.0
60,9.0,0.0,40.0,48.0,0.0
65,1.0,0.0,2.0,29.0,20.0
67,19.0,0.0,8.0,59.0,20.0
68,9.0,0.0,19.0,54.0,1.0
69,1.0,0.0,4.0,41.0,7.0
70,14.0,0.0,16.0,34.0,3.0
71,31.0,0.0,59.0,151.0,37.0
73,8.0,0.0,29.0,44.0,0.0
74,11.0,0.0,3.0,124.0,31.0
75,30.0,0.0,67.0,98.0,33.0
76,5.0,0.0,26.0,51.0,6.0
78,11.0,0.0,17.0,69.0,27.0
80,1.0,0.0,8.0,19.0,2.0
81,17.0,0.0,40.0,78.0,29.0
82,12.0,0.0,14.0,43.0,27.0
83,7.0,0.0,2.0,9.0,5.0
86,20.0,0.0,39.0,70.0,8.0
87,22.0,0.0,30.0,54.0,2.0
88,22.0,0.0,33.0,91.0,19.0
90,28.0,0.0,30.0,80.0,34.0
93,3.0,0.0,0.0,11.0,2.0
94,9.0,0.0,8.0,33.0,7.0
95,6.0,0.0,23.0,24.0,1.0
96,9.0,0.0,44.0,61.0,25.0
97,1.0,0.0,10.0,9.0,4.0
98,24.0,0.0,7.0,26.0,13.0
101,9.0,0.0,62.0,76.0,3.0
103,18.0,0.0,52.0,200.0,10.0
104,4.0,0.0,30.0,121.0,55.0
106,0.0,0.0,0.0,15.0,3.0
107,9.0,0.0,31.0,49.0,0.0
109,2.0,0.0,0.0,9.0,6.0
111,0.0,0.0,0.0,11.0,4.0
112,43.0,0.0,58.0,162.0,10.0
113,7.0,0.0,26.0,76.0,38.0
114,0.0,0.0,0.0,1.0,0.0
119,16.0,0.0,61.0,113.0,50.0
120,12.0,0.0,58.0,1127.0,54.0
121,13.0,0.0,32.0,70.0,4.0
122,13.0,0.0,12.0,45.0,36.0
123,17.0,0.0,28.0,76.0,36.0
129,5.0,0.0,9.0,65.0,22.0
130,1.0,0.0,12.0,44.0,8.0
131,0.0,0.0,0.0,1.0,0.0
132,0.0,0.0,0.0,2.0,2.0
133,1.0,0.0,14.0,55.0,34.0
134,0.0,0.0,28.0,23.0,8.0
135,13.0,0.0,31.0,51.0,17.0
138,12.0,0.0,29.0,55.0,30.0
140,0.0,0.0,0.0,33.0,0.0
141,0.0,0.0,117.0,105.0,31.0
142,2.0,0.0,55.0,84.0,12.0
144,14.0,0.0,64.0,135.0,62.0
146,29.0,0.0,18.0,69.0,32.0
148,43.0,0.0,49.0,150.0,39.0
149,0.0,0.0,8.0,4.0,0.0
150,3.0,0.0,26.0,9.0,0.0
151,11.0,0.0,62.0,104.0,47.0
152,9.0,0.0,47.0,117.0,27.0
155,15.0,0.0,42.0,64.0,3.0
156,0.0,0.0,0.0,2.0,1.0
157,5.0,0.0,58.0,27.0,0.0
159,36.0,0.0,54.0,182.0,61.0
160,2.0,0.0,4.0,30.0,13.0
161,20.0,0.0,9.0,44.0,22.0
162,7.0,0.0,46.0,56.0,0.0
164,0.0,0.0,0.0,2.0,0.0
166,21.0,0.0,42.0,86.0,36.0
167,23.0,0.0,15.0,121.0,54.0
170,12.0,0.0,29.0,60.0,2.0
171,2.0,0.0,0.0,15.0,5.0
172,28.0,0.0,18.0,51.0,29.0
173,33.0,0.0,48.0,109.0,57.0
174,6.0,0.0,0.0,22.0,11.0
175,1.0,0.0,0.0,7.0,4.0
176,12.0,0.0,17.0,34.0,6.0
178,33.0,0.0,29.0,56.0,22.0
180,22.0,0.0,19.0,93.0,4.0
182,27.0,0.0,12.0,55.0,23.0
186,5.0,0.0,7.0,116.0,10.0
189,27.0,0.0,42.0,147.0,68.0
190,9.0,0.0,27.0,48.0,41.0
192,0.0,0.0,32.0,247.0,57.0
193,0.0,0.0,0.0,2.0,2.0
195,4.0,0.0,8.0,56.0,15.0
196,9.0,0.0,54.0,32.0,1.0
198,17.0,0.0,14.0,69.0,42.0
199,23.0,0.0,238.0,262.0,69.0
200,1.0,0.0,0.0,5.0,3.0
201,3.0,0.0,38.0,83.0,21.0
204,5.0,0.0,10.0,29.0,3.0
208,2.0,0.0,0.0,11.0,8.0
209,8.0,0.0,27.0,42.0,17.0
212,0.0,0.0,0.0,3.0,1.0
214,12.0,0.0,11.0,47.0,38.0
216,6.0,0.0,5.0,29.0,8.0
219,115.0,0.0,267.0,605.0,19.0
